Date,Team,Acquired,Relinquished,Notes,Injury,DL_length,Injury_Type
1999-04-05, Cardinals, , • David Howard, placed on 15 day DL,1,15,unknown
1999-04-05, Cardinals, , • Ray Lankford, placed on 15 day DL,1,15,unknown
1999-04-05, Giants, , • Bill Mueller, placed on 15 day DL,1,15,unknown
1999-04-08, Padres, , • George Arias, placed on 15 day DL,1,15,unknown
1999-04-12, Indians, , • Ricardo Rincon, placed on 15 day DL,1,15,unknown
1999-04-12, Marlins, , • Alex Fernandez (a), placed on 15 day DL,1,15,unknown
1999-04-12, Mets, , • Mike Piazza (Joseph), placed on 15 day DL,1,15,unknown
1999-04-12, Mets, , • Rick Reed, placed on 15 day DL,1,15,unknown
1999-04-18, Giants, , • Mark Gardner, placed on 15 day DL,1,15,unknown
1999-04-18, Red Sox, , • Tom Gordon, placed on 15 day DL,1,15,unknown
1999-04-18, Reds, , • Mark Wohlers, placed on 15 day DL,1,15,unknown
1999-04-18, Yankees, , • Scott Brosius, placed on 15 day DL,1,15,unknown
1999-04-19, Brewers, , • Bill Pulsipher, placed on 15 day DL,1,15,unknown
1999-04-19, Orioles, , • Cal Ripken Jr., placed on 15 day DL,1,15,unknown
1999-04-20, Giants, , • Barry Bonds, placed on 15 day DL,1,15,unknown
1999-04-20, Orioles, , • Will Clark, placed on 15 day DL,1,15,unknown
1999-04-28, Astros, , • Ricky Gutierrez, placed on 15 day DL,1,15,unknown
1999-04-28, Indians, , • Paul Shuey, placed on 15 day DL,1,15,unknown
1999-04-29, Cubs, , • Jon Lieber, placed on 15 day DL,1,15,unknown
1999-04-29, Yankees, , • Roger Clemens, placed on 15 day DL,1,15,unknown
1999-05-17, Braves, , • John Smoltz, placed on 15 day DL,1,15,unknown
1999-05-17, Indians, , • Sandy Alomar Jr., placed on 15 day DL,1,15,unknown
1999-06-02, Marlins, , • Archie Corbin, placed on 15 day DL,1,15,unknown
1999-06-02, Rangers, , • Mike Morgan, placed on 15 day DL,1,15,unknown
1999-06-12, Rangers, , • Tom Goodwin, placed on 15 day DL,1,15,unknown
1999-07-01, Tigers, , • Masao Kida, placed on 15 day DL,1,15,unknown
1999-07-16, Astros, , • Carl Everett, placed on 15 day DL,1,15,unknown
1999-08-02, Twins, , • Mark Redman, placed on 15 day DL,1,15,unknown
1999-08-02, White Sox, , • Darrin Jackson, placed on 15 day DL,1,15,unknown
1999-08-12, Blue Jays, , • Willis Otanez, placed on 15 day DL,1,15,unknown
1999-08-31, Blue Jays, , • Rob Butler, placed on 60 day DL,1,60,unknown
1999-08-31, Diamondbacks, , • Andy Fox, placed on 15 day DL,1,15,unknown
1999-08-31, Diamondbacks, , • Turner Ward, placed on 15 day DL,1,15,unknown
1999-08-31, Indians, , • David Riske, placed on 15 day DL,1,15,unknown
1999-08-31, Indians, , • Jason Rakers, placed on 60 day DL,1,60,unknown
1999-08-31, Red Sox, , • John Valentin, placed on 15 day DL,1,15,unknown
1999-08-31, Red Sox, , • Shea Hillenbrand, placed on 15 day DL,1,15,unknown
1999-08-31, White Sox, , • Scott Eyre, placed on 15 day DL,1,15,unknown
1999-10-02, Orioles, , • Delino DeShields Sr., placed on 60 day DL,1,60,unknown
1999-10-06, Padres, , • Carlos Hernandez, placed on 60 day DL,1,60,unknown
1999-10-06, Padres, , • Randy Myers, placed on 60 day DL,1,60,unknown
2000-03-23, Rockies, , • John Thomson, placed on 60 day DL recovering from surgery on shoulder,1,60,unknown
2000-04-01, Devil Rays, , • Wilson Alvarez, placed on DL,1,0,unknown
2000-04-01, Dodgers, , • Antonio Osuna, placed on 15 day DL,1,15,unknown
2000-04-08, Mets, , • Darryl Hamilton, placed on 15 day DL with sprained left foot,1,15, sprained left foot
2000-04-08, Orioles, , • Mike Timlin, placed on 15 day DL with strained abdominal,1,15, strained abdominal
2000-04-08, Padres, , • Carlos Hernandez, placed on 15 day DL with strained groin,1,15, strained groin
2000-06-21, Astros, , • Billy Wagner, placed on 15 day DL,1,15,unknown
2000-06-21, Rangers, , • Darren Oliver, placed on 15 day DL,1,15,unknown
2000-07-03, Diamondbacks, , • Alex Cabrera, placed on 15 day DL,1,15,unknown
2000-07-07, Mariners, , • Frank Rodriguez / Frankie Rodriguez, placed on 15 day DL,1,15,unknown
2000-07-07, Reds, , • Osvaldo Fernandez, placed on 15 day DL,1,15,unknown
2000-07-12, Yankees, , • Shane Spencer, placed on 60 day DL,1,60,unknown
2000-07-31, Astros, , • Mitch Meluskey, placed on 15 day DL,1,15,unknown
2000-08-23, Athletics, , • Jeremy Giambi, placed on 15 day DL,1,15,unknown
2000-08-23, Mariners, , • Jay Buhner, placed on 15 day DL,1,15,unknown
2000-09-26, Indians, , • Charles Nagy, placed on 15 day DL with right elbow inflammation,1,15, right elbow inflammation
2001-03-09, Orioles, , • Albert Belle / Joey Belle, placed on 60 day DL with right hip injury,1,60, right hip injury
2001-03-11, Yankees, , • Allen Watson, placed on 60 day DL,1,60,unknown
2001-03-21, Reds, , • Seth Etherton, placed on 60 day DL with right shoulder injury,1,60, right shoulder injury
2001-03-22, Expos, , • Carl Pavano, placed on 15 day DL,1,15,unknown
2001-03-22, Rangers, , • Gabe Kapler, placed on IR with torn right quadriceps (date approximate),1,0, torn right quadriceps (date approximate)
2001-03-23, Blue Jays, , Mike Sirtoka, placed on 15 day DL,1,15,unknown
2001-03-23, Blue Jays, , • Andy Thompson, placed on 15 day DL,1,15,unknown
2001-03-23, Blue Jays, , • Jeff Frye, placed on 15 day DL,1,15,unknown
2001-03-23, Cardinals, , • Carlos Hernandez, placed on 15 day DL recovering from surgery on lower back,1,15,unknown
2001-03-23, Cardinals, , • Garrett Stephenson, placed on 15 day DL strained right medial elbow,1,15,unknown
2001-03-23, Cardinals, , • Jason Christiansen, placed on 15 day DL recovering from surgery on left shoulder,1,15,unknown
2001-03-23, Cardinals, , • Luther Hackman, placed on 15 day DL recovering from surgery on right elbow,1,15,unknown
2001-03-25, Cardinals, , • Bobby Bonilla, placed on 15 day DL with pulled left hamstring,1,15, pulled left hamstring
2001-03-27, Brewers, , • Everett Stull, placed on 15 day DL with strained right shoulder,1,15, strained right shoulder
2001-03-27, Brewers, , • Mark Loretta, placed on 15 day DL with torn ligament in left thumb,1,15, torn ligament in left thumb
2001-03-27, White Sox, , • Bill Simas, placed on 15 day DL,1,15,unknown
2001-03-27, White Sox, , • James Baldwin (b), placed on 15 day DL,1,15,unknown
2001-03-31, Astros, , • Doug Brocail, placed on 15 day DL,1,15,unknown
2001-03-31, Astros, , • Shane Reynolds, placed on 15 day DL,1,15,unknown
2001-03-31, Athletics, , • Chad Harville, placed on 60 day DL,1,60,unknown
2001-03-31, Athletics, , • John Jaha, placed on 15 day DL,1,15,unknown
2001-03-31, Blue Jays, , • Andy Thompson, placed on 15 day DL (NYT),1,15,unknown
2001-03-31, Blue Jays, , • Jeff Frye, placed on 15 day DL (NYT),1,15,unknown
2001-03-31, Blue Jays, , • Mike Sirotka, placed on 15 day DL,1,15,unknown
2001-03-31, Devil Rays, , • Juan Guzman (A.), placed on 15 day DL,1,15,unknown
2001-03-31, Devil Rays, , • Wilson Alvarez, placed on 15 day DL,1,15,unknown
2001-03-31, Diamondbacks, , • Reggie Sanders, placed on 15 day DL,1,15,unknown
2001-03-31, Dodgers, , • (James) Kevin Brown, placed on 15 day DL,1,15,unknown
2001-03-31, Indians, , • Cameron Cairncross, placed on 60 day DL,1,60,unknown
2001-03-31, Indians, , • Charles Nagy, placed on 15 day DL,1,15,unknown
2001-03-31, Indians, , • Dave Roberts (a), placed on 15 day DL,1,15,unknown
2001-03-31, Indians, , • Jaret Wright, placed on 15 day DL,1,15,unknown
2001-03-31, Indians, , • Travis Fryman, placed on 15 day DL with strained ligament in right elbow,1,15, strained ligament in right elbow
2001-03-31, Marlins, , • A.J. Burnett, placed on 15 day DL,1,15,unknown
2001-03-31, Marlins, , • Chuck Smith, placed on 15 day DL,1,15,unknown
2001-03-31, Marlins, , • Pablo Ozuna, placed on 15 day DL,1,15,unknown
2001-03-31, Phillies, , • Cliff Politte, placed on 60 day DL,1,60,unknown
2001-03-31, Phillies, , • Rob Ducey, placed on 15 day DL,1,15,unknown
2001-03-31, Pirates, , • Alex Hernandez, placed on 60 day DL,1,60,unknown
2001-03-31, Pirates, , • Francisco Cordova, placed on 15 day DL,1,15,unknown
2001-03-31, Pirates, , • Jason Schmidt, placed on 15 day DL,1,15,unknown
2001-03-31, Pirates, , • Kris Benson, placed on 15 day DL,1,15,unknown
2001-03-31, Pirates, , • Mike Benjamin (a)?, placed on 15 day DL,1,15,unknown
2001-03-31, Pirates, , Rich Loiselle, placed on 60 day DL,1,60,unknown
2001-03-31, Red Sox, , • Bret Saberhagen, placed on 15 day DL recovering from sugery on right shoulder,1,15,unknown
2001-03-31, Red Sox, , • Bryce Florie, placed on 60 day DL with fractured right orbital bone,1,60, fractured right orbital bone
2001-03-31, Red Sox, , • David Cone, placed on 15 day DL with right shoulder inflammation,1,15, right shoulder inflammation
2001-03-31, Red Sox, , • Hipolito Pichardo, placed on 15 day DL with strained right elbow,1,15, strained right elbow
2001-03-31, Red Sox, , • John Valentin, placed on 15 day DL recovering from surgery on left knee to repair patellar tendon,1,15,unknown
2001-03-31, Red Sox, , • Juan Pena, placed on 15 day DL recovering from surgery on right elbow,1,15,unknown
2001-03-31, Red Sox, , • Nomar Garciaparra, placed on 15 day DL with right wrist tendinitis,1,15, right wrist tendinitis
2001-03-31, Yankees, , • Darrell Einertson, placed on 60 day DL,1,60,unknown
2001-03-31, Yankees, , • Henry Alberto Rodriguez / Henry Rodriguez (Alberto), placed on 15 day DL,1,15,unknown
2001-03-31, Yankees, , • Ramiro Mendoza, placed on 15 day DL,1,15,unknown
2001-03-31, Yankees, , • Shane Spencer, placed on 15 day DL,1,15,unknown
2001-03-31, Marlins, , • Jeff Abbott, placed on 15 day DL,1,15,unknown
2001-04-01, Cubs, , • Tom Gordon, placed on 15 day DL with strained right triceps muscle,1,15, strained right triceps muscle
2001-04-01, Mariners, , • Paul Abbott, placed on 15 day DL with right shoulder stiffness,1,15, right shoulder stiffness
2001-04-03, Astros, , • Moises Alou, placed on 15 day DL,1,15,unknown
2001-04-04, Brewers, , • Valerio De Los Santos, placed on 15 day DL with tear in ulnar collateral ligament,1,15, tear in ulnar collateral ligament
2001-04-04, Cubs, , • Ron Coomer, placed on 15 day DL with torn medial meniscus in left knee,1,15, torn medial meniscus in left knee
2001-04-04, Expos, , • Sandy Martinez, placed on 60 day DL,1,60,unknown
2001-04-04, Reds, , • Scott Williamson, placed on 60 day DL,1,60,unknown
2001-04-05, Angels, , • Ismael Valdes, placed on 15 day DL,1,15,unknown
2001-04-05, Blue Jays, , • Homer Bush, placed on 15 day DL,1,15,unknown
2001-04-06, Indians, , • Jamie Brown, placed on 15 day DL,1,15,unknown
2001-04-06, Phillies, , • Brian Hunter (L.) or Brian Hunter (R.), placed on DL,1,0,unknown
2001-04-06, Pirates, , • Terry Mulholland, placed on 15 day DL,1,15,unknown
2001-04-06, Red Sox, , • Chris Stynes, placed on 15 day DL with strained right hamstring,1,15, strained right hamstring
2001-04-09, Mets, , • Benny Agbayani, placed on 15 day DL with fractured wrist,1,15, fractured wrist
2001-04-09, Twins, , • Torii Hunter Sr., placed on 15 day DL with strained right groin,1,15, strained right groin
2001-04-10, Indians, , • Steve Woodard, placed on 15 day DL with bruised right elbow,1,15, bruised right elbow
2001-04-11, Mets, , • Timo Perez, placed on 15 day DL with strained left groin,1,15, strained left groin
2001-04-12, Blue Jays, , • Lance Painter, placed on 15 day DL with left Achilles tendinitis,1,15, left Achilles tendinitis
2001-04-12, White Sox, , • Cal Eldred, placed on 15 day DL,1,15,unknown
2001-04-15, Phillies, , • David Newhan, placed on 15 day DL with right shoulder inflammation,1,15, right shoulder inflammation
2001-04-15, Reds, , • Scott Winchester, placed on 15 day DL with strained oblique muscle on left side,1,15, strained oblique muscle on left side
2001-04-16, Astros, , • Bill Spiers / Billy Spiers, placed on 15 day DL with sore lower back,1,15, sore lower back
2001-04-16, Cardinals, , • Mark McGwire, placed on 15 day DL with sore right knee,1,15, sore right knee
2001-04-17, Padres, , • Mark Kotsay, placed on 15 day DL,1,15,unknown
2001-04-17, Pirates, , • Adrian Brown, placed on 15 day DL,1,15,unknown
2001-04-19, Dodgers, , • Andy Ashby, placed on 15 day DL with strained right elbow,1,15, strained right elbow
2001-04-19, Rangers, , • Tim Crabtree, placed on 15 day DL with lower back injury,1,15, lower back injury
2001-04-21, Padres, , • Tony Gwynn Sr., placed on 15 day DL,1,15,unknown
2001-04-21, White Sox, , • Antonio Osuna, placed on 15 day DL with right shoulder inflammation,1,15, right shoulder inflammation
2001-04-22, Angels, , • Glenallen Hill, placed on 15 day DL with strained oblique muscle,1,15, strained oblique muscle
2001-04-22, Diamondbacks, , • Brian Anderson (James), placed on 15 day DL with strained lower back,1,15, strained lower back
2001-04-24, Padres, , • Kevin Walker, placed on 15 day DL,1,15,unknown
2001-04-25, Brewers, , • Jeff D'Amico (C.), placed on 15 day DL with compressed radial nerve in the upper right arm,1,15, compressed radial nerve in the upper right arm
2001-04-25, Mets, , • Al Leiter, placed on DL with sore tendon in left elbow,1,0, sore tendon in left elbow
2001-04-26, Giants, , • Felipe Crespo, placed on 15 day DL with torn right plantar fascia,1,15, torn right plantar fascia
2001-04-27, Mets, , • Darryl Hamilton, placed on 15 day DL with strained right trapezius muscle,1,15, strained right trapezius muscle
2001-04-28, Orioles, , • David Segui, placed on 15 day DL with lacerated hand,1,15, lacerated hand
2001-04-30, Reds, , • Ken Griffey Jr., placed on 15 day DL with partial tear in left hamstring,1,15, partial tear in left hamstring
2001-05-01, Mets, , • Rick White, placed on 15 day DL with strained right rotator cuff,1,15, strained right rotator cuff
2001-05-01, White Sox, , • Jim Parque, placed on 15 day DL with sore left shoulder,1,15, sore left shoulder
2001-05-02, Cubs, , Mike Fyhrie, placed on 15 day DL with broken ulna bone in left arm,1,15, broken ulna bone in left arm
2001-05-02, Dodgers, , • Paul Lo Duca, placed on 15 day DL with strained left oblique,1,15, strained left oblique
2001-05-02, Padres, , • Mike Darr (Curtis), placed on 15 day DL,1,15,unknown
2001-05-02, Rangers, , • Ivan Rodriguez (a), placed on 15 day DL with bruised left heel,1,15, bruised left heel
2001-05-03, Astros, , • Charlie Hayes, placed on restricted list,1,0,unknown
2001-05-03, Rangers, , • Chad Curtis, placed on 15 day DL with strained right hamstring,1,15, strained right hamstring
2001-05-04, Brewers, , • Geoff Jenkins, placed on 15 day DL with sprained right shoulder,1,15, sprained right shoulder
2001-05-04, Expos, , • Tim Raines Sr., placed on 15 day DL with bruised left shoulder,1,15, bruised left shoulder
2001-05-05, Angels, , • Bengie Molina, placed on 15 day DL with strained right hamstring,1,15, strained right hamstring
2001-05-05, Twins, , • David Ortiz, placed on 15 day DL with broken right wrist,1,15, broken right wrist
2001-05-06, Pirates, , • Keith Osik, placed on 15 day DL,1,15,unknown
2001-05-07, Angels, , • Jorge Fabregas, placed on 15 day DL with right elbow inflammation,1,15, right elbow inflammation
2001-05-07, Rangers, , • Darren Oliver, placed on 15 day DL with bruised and lacerated thumb,1,15, bruised and lacerated thumb
2001-05-08, Mets, , • Jay Payton, placed on 15 day DL with strained right hamstring,1,15, strained right hamstring
2001-05-08, Rockies, , • Brian Bohanon, placed on 15 day DL,1,15,unknown
2001-05-09, Red Sox, , • Craig Grebeck, placed on 15 day DL with left shoulder tendinitis,1,15, left shoulder tendinitis
2001-05-10, Devil Rays, , • Mike Judd, placed on 15 day DL with sore right shoulder,1,15, sore right shoulder
2001-05-10, Padres, , • Brian Tollberg, placed on 15 day DL,1,15,unknown
2001-05-10, Red Sox, , • Chris Stynes, placed on 15 day DL with fractured left cheekbone,1,15, fractured left cheekbone
2001-05-10, White Sox, , • Frank Thomas (E.), placed on 15 day DL with tear in right triceps,1,15, tear in right triceps
2001-05-11, Blue Jays, , • Jose Cruz Jr., placed on 15 day DL,1,15,unknown
2001-05-11, Braves, , • Damian Moss, placed on 15 day DL,1,15,unknown
2001-05-11, Brewers, , • Mark Leiter (E.), placed on 15 day DL with strained right biceps,1,15, strained right biceps
2001-05-11, Expos, , • Fernando Tatis Sr., placed on 15 day DL with torn labrum in right shoulder,1,15, torn labrum in right shoulder
2001-05-11, Reds, , • Pete Harnisch, placed on 15 day DL with right elbow tendinitis,1,15, right elbow tendinitis
2001-05-12, Devil Rays, , • Ariel Prieto, placed on 15 day DL with sore right shoulder,1,15, sore right shoulder
2001-05-12, Diamondbacks, , • Armando Reynoso, placed on 15 day DL with strained right shoulder,1,15, strained right shoulder
2001-05-12, Phillies, , • Mike Lieberthal, placed on 15 day DL with sprained right knee,1,15, sprained right knee
2001-05-12, Phillies, , • Vicente Padilla, placed on 15 day DL with sprained left ankle,1,15, sprained left ankle
2001-05-13, Giants, , • Shawn Estes, placed on 15 day DL with left shoulder tendinitis,1,15, left shoulder tendinitis
2001-05-13, Mets, , • Tom Martin, placed on 15 day DL with strained left shoulder,1,15, strained left shoulder
2001-05-13, Rockies, , • Brooks Kieschnick, placed on 15 day DL with strained left groin,1,15, strained left groin
2001-05-14, Cubs, , • Bill Mueller, placed on 15 day DL with open fracture of left patella,1,15, open fracture of left patella
2001-05-15, Astros, , • Doug Brocail, placed on 60 day DL,1,60,unknown
2001-05-15, Reds, , • Aaron Boone, placed on 15 day DL with broken hand,1,15, broken hand
2001-05-16, Devil Rays, , • Russ Johnson, placed on 15 day DL with strained right quadriceps,1,15, strained right quadriceps
2001-05-17, Angels, , • Mike Holtz, placed on 15 day DL with left elbow inflammation,1,15, left elbow inflammation
2001-05-18, Devil Rays, , • Jose Guillen, placed on 15 day DL with sprained left knee,1,15, sprained left knee
2001-05-18, Padres, , • Santiago Perez, placed on 15 day DL,1,15,unknown
2001-05-18, Phillies, , • David Newhan, placed on 15 day DL with right shoulder inflammation,1,15, right shoulder inflammation
2001-05-18, Pirates, , • Derek Bell, placed on 15 day DL,1,15,unknown
2001-05-18, Reds, , • Barry Larkin, placed on 15 day DL with sore groin,1,15, sore groin
2001-05-19, Rockies, , • Todd Hollandsworth, placed on 15 day DL,1,15,unknown
2001-05-21, Angels, , • Jose Molina (B.), placed on 15 day DL with non displaced fracture of left thumb,1,15, non displaced fracture of left thumb
2001-05-21, Diamondbacks, , • Matt Williams (Derrick), placed on 15 day DL with torn left hamstring,1,15, torn left hamstring
2001-05-21, Dodgers, , • Chris Donnels, placed on 15 day DL with sprained right lumbar,1,15, sprained right lumbar
2001-05-22, Expos, , • Jose Vidro, placed on 15 day DL with partial tear or muscle in left forearm,1,15, partial tear or muscle in left forearm
2001-05-23, Diamondbacks, , • Russ Springer, placed on 15 day DL with strained right shoulder,1,15, strained right shoulder
2001-05-23, Giants, , • Alan Embree, placed on 15 day DL with strained lower back,1,15, strained lower back
2001-05-23, Padres, , • Kevin Walker, placed on 15 day DL with sprained elbow,1,15, sprained elbow
2001-05-23, Twins, , • Mark Redman, placed on 15 day DL with strained left triceps,1,15, strained left triceps
2001-05-24, Angels, , • Shigetoshi Hasegawa, placed on 15 day DL with right shoulder inflammation,1,15, right shoulder inflammation
2001-05-24, Expos, , • Mike Thurman, placed on 15 day DL with hairline fracture of right thumb,1,15, hairline fracture of right thumb
2001-05-24, Padres, , • Rodney Myers, placed on 15 day DL,1,15,unknown
2001-05-25, Brewers, , • Jamey Wright, placed on 15 day DL with strained right intercostal,1,15, strained right intercostal
2001-05-25, Rangers, , Randy Velarde, placed on 15 day DL with pulled left hamstring,1,15, pulled left hamstring
2001-05-25, Rockies, , • John Thomson, placed on 15 day DL,1,15,unknown
2001-05-27, Giants, , • Eric Davis, placed on 15 day DL with strained left shoulder,1,15, strained left shoulder
2001-05-27, Mets, , • Bobby Jones (M.), placed on 15 day DL with strained right peroneal (lower right knee),1,15, strained right peroneal (lower right knee)
2001-05-27, Mets, , • Donne Wall, placed on 15 day DL with strained right shoulder,1,15, strained right shoulder
2001-05-27, Reds, , • John Riedling, placed on 15 day DL with strained right shoulder,1,15, strained right shoulder
2001-05-28, Dodgers, , • Gary Sheffield, placed on 15 day DL with sprained left index finger,1,15, sprained left index finger
2001-05-30, Reds, , • Dennys Reyes, placed on 15 day DL with tightness in left forearm,1,15, tightness in left forearm
2001-05-31, Devil Rays, , • Felix Martinez (Mata), placed on 15 day DL with left knee tendinitis,1,15, left knee tendinitis
2001-05-31, Mariners, , • Norm Charlton, placed on 15 day DL,1,15,unknown
2001-05-31, Phillies, , • Wayne Gomes, placed on 15 day DL with strained patella tendon in right knee,1,15, strained patella tendon in right knee
2001-06-01, Giants, , • J.T. Snow, placed on 15 day DL with bruised left rib,1,15, bruised left rib
2001-06-01, Rockies, , • Mark Little, placed on 15 day DL,1,15,unknown
2001-06-02, Indians, , • Chuck Finley, placed on 15 day DL with neck spasms,1,15, neck spasms
2001-06-03, Diamondbacks, , • Brian Anderson (James), placed on 15 day DL with strained left groin,1,15, strained left groin
2001-06-03, Rangers, , • Ryan Glynn, placed on 15 day DL with lumbar disc injury in lower back,1,15, lumbar disc injury in lower back
2001-06-03, Red Sox, , • Craig Grebeck, placed on 15 day DL with bruised left foot,1,15, bruised left foot
2001-06-04, Astros, , • Billy Wagner, placed on 15 day DL,1,15,unknown
2001-06-04, Dodgers, , • (James) Kevin Brown, placed on 15 day DL with irritation of nerve in cervical neck,1,15, irritation of nerve in cervical neck
2001-06-04, Twins, , • Chad Allen, placed on 15 day DL with strained left quadriceps,1,15, strained left quadriceps
2001-06-05, Padres, , • Donaldo Mendez / Donald Mendez, placed on 15 day DL,1,15,unknown
2001-06-05, Pirates, , • Jose Silva, placed on 15 day DL,1,15,unknown
2001-06-05, Twins, , • Eddie Guardado, placed on 15 day DL with torn medial meniscus in left knee,1,15, torn medial meniscus in left knee
2001-06-05, White Sox, , • Lorenzo Barcelo, placed on 15 day DL with right shoulder inflammation,1,15, right shoulder inflammation
2001-06-06, Diamondbacks, , • Greg Colbrunn, placed on 15 day DL with bruised left knee,1,15, bruised left knee
2001-06-06, Padres, , • Rudy Seanez, placed on 15 day DL with strained right groin,1,15, strained right groin
2001-06-06, Pirates, , • John Wehner, placed on 15 day DL,1,15,unknown
2001-06-06, Red Sox, , • Lou Merloni, placed on 15 day DL with bruised left elbow,1,15, bruised left elbow
2001-06-06, Twins, , • Jason Maxwell, placed on 15 day DL with pulled tendon in right middle finger,1,15, pulled tendon in right middle finger
2001-06-07, Expos, , • Fernando Tatis Sr., placed on 15 day DL with left knee tendinitis,1,15, left knee tendinitis
2001-06-07, Red Sox, , • John Valentin, placed on 15 day DL with plantar fascitis in right heel,1,15, plantar fascitis in right heel
2001-06-08, Red Sox, , • Jason Varitek, placed on 15 day DL with right elbow fracture of the radial head,1,15, right elbow fracture of the radial head
2001-06-08, White Sox, , • Herbert Perry, placed on 15 day DL with sore left Achilles tendon,1,15, sore left Achilles tendon
2001-06-08, White Sox, , • Jose Valentin (A.), placed on 15 day DL with sore right hamstring,1,15, sore right hamstring
2001-06-09, Brewers, , • Jeffrey Hammonds, placed on 15 day DL with strained right shoulder,1,15, strained right shoulder
2001-06-09, Royals, , • Mark Quinn, placed on 15 day DL,1,15,unknown
2001-06-11, Braves, , • John Smoltz, placed on 15 day DL with right shoulder and elbow inflammation,1,15, right shoulder and elbow inflammation
2001-06-11, Expos, , • Terry Jones (a), placed on 15 day DL,1,15,unknown
2001-06-12, Astros, , • Kent Bottenfield, placed on 15 day DL,1,15,unknown
2001-06-12, Dodgers, , • Mark Grudzielanek, placed on 15 day DL with sprained left ankle,1,15, sprained left ankle
2001-06-12, Pirates, , • Terry Mulholland, placed on 15 day DL,1,15,unknown
2001-06-12, Rangers, , • Rusty Greer, placed on 15 day DL with strained left hamstring,1,15, strained left hamstring
2001-06-13, Padres, , • Wiki Gonzalez, placed on 15 day DL with sprained right ankle,1,15, sprained right ankle
2001-06-13, Rockies, , • Denny Neagle, placed on 15 day DL with strained right hamstring,1,15, strained right hamstring
2001-06-14, Diamondbacks, , • Armando Reynoso, placed on 15 day DL with strained right shoulder,1,15, strained right shoulder
2001-06-14, Orioles, , • Mike Bordick, placed on 15 day DL with separated rigth shoulder,1,15, separated rigth shoulder
2001-06-14, Phillies, , • Eddie Oropesa, placed on 15 day DL,1,15,unknown
2001-06-14, Rangers, , • Mike Hubbard, placed on 15 day DL with fractured right thumb,1,15, fractured right thumb
2001-06-15, Brewers, , • Paul Rigdon, placed on 15 day DL with strained right elbow,1,15, strained right elbow
2001-06-15, Dodgers, , • Tim Bogar, placed on 15 day DL with strained right hamstring,1,15, strained right hamstring
2001-06-15, Indians, , • Paul Shuey, placed on 15 day DL with strained right elbow,1,15, strained right elbow
2001-06-15, Mets, , • Edgardo Alfonzo, placed on 15 day DL with strained lower back,1,15, strained lower back
2001-06-17, Rangers, , • Ken Caminiti, placed on 15 day DL with pulled left hamstring,1,15, pulled left hamstring
2001-06-17, Royals, , • Dee Brown, placed on 15 day DL,1,15,unknown
2001-06-18, Cardinals, , • J.D. Drew, placed on 15 day DL with non displaced fracture of the fifth metacarpal of the right hand,1,15, non displaced fracture of the fifth metacarpal of the right hand
2001-06-18, Expos, , • Curtis Pride, placed on 15 day DL with bruised right wrist,1,15, bruised right wrist
2001-06-18, White Sox, , • Kelly Wunsch, placed on 15 day DL with torn left rotator cuff,1,15, torn left rotator cuff
2001-06-19, Cubs, , • Todd Hundley, placed on 15 day DL with lower back muscular strain,1,15, lower back muscular strain
2001-06-19, Expos, , Hideki Irabu, placed on 15 day DL with right elbow tendinitis,1,15, right elbow tendinitis
2001-06-19, Indians, , • Ed Taubensee / Eddie Taubensee, placed on 15 day DL with viral infection,1,15, viral infection
2001-06-20, Braves, , • Joe Nelson, placed on 15 day DL with shoulder tendinitis,1,15, shoulder tendinitis
2001-06-20, Mets, , • Tsuyoshi Shinjo, placed on 15 day DL with strained left quadriceps,1,15, strained left quadriceps
2001-06-22, Devil Rays, , • Esteban Yan, placed on 15 day DL with right shoulder inflammation,1,15, right shoulder inflammation
2001-06-23, Astros, , • Orlando Merced, placed on 15 day DL,1,15,unknown
2001-06-23, Mariners, , • Norm Charlton, placed on 15 day DL,1,15,unknown
2001-06-23, Orioles, , • Chris Richard, placed on 15 day DL with bruised right knee,1,15, bruised right knee
2001-06-24, Dodgers, , • Mike Fetters, placed on 15 day DL with cervical spasms,1,15, cervical spasms
2001-06-24, Giants, , • J.T. Snow, placed on 15 day DL with bilateral groin strain,1,15, bilateral groin strain
2001-06-25, Devil Rays, , • Jose Guillen, placed on 15 day DL with sprained left knee,1,15, sprained left knee
2001-06-26, Blue Jays, , • Homer Bush, placed on 15 day DL,1,15,unknown
2001-06-26, Red Sox, , • Rich Garces, placed on 15 day DL with strained right hamstring,1,15, strained right hamstring
2001-06-27, Pirates, , Pat Meares, placed on 15 day DL,1,15,unknown
2001-06-27, Red Sox, , • Pedro Martinez (J.), placed on 15 day DL with sore right shoulder,1,15, sore right shoulder
2001-06-28, Rangers, , • Francisco Cordero, placed on 15 day DL with sore lower back,1,15, sore lower back
2001-06-28, Red Sox, , • Carl Everett, placed on 15 day DL with strained right knee,1,15, strained right knee
2001-06-29, Cubs, , • Courtney Duncan, placed on 15 day DL with muscle strain in upper back,1,15, muscle strain in upper back
2001-06-29, Indians, , • Chuck Finley, placed on 15 day DL with neck and shoulder muscle spasms,1,15, neck and shoulder muscle spasms
2001-06-29, Phillies, , • Ricky Bottalico, placed on 15 day DL with right shoulder inflammation,1,15, right shoulder inflammation
2001-06-29, Red Sox, , • Frank Castillo, placed on 15 day DL with strained right latissimus,1,15, strained right latissimus
2001-06-29, Reds, , • Barry Larkin, placed on 15 day DL,1,15,unknown
