Date,Team,Acquired,Relinquished,Notes,Injury,DL_length,Injury_Type
2006-09-20, Padres, , • Doug Brocail, placed on 60 day DL with hamstring injury,1,60, hamstring injury
2006-09-25, Mariners, , • Cha-Seung Baek / Cha Seung Baek, placed on 60 day DL with right triceps tendinitis,1,60, right triceps tendinitis
2007-03-23, Devil Rays, , • Jon Switzer, placed on 15 day DL with left shoulder tendinitis,1,15, left shoulder tendinitis
2007-03-23, Orioles, , • Kris Benson, placed on 60 day DL with torn rotator cuff in right shoulder (out for season),1,60, torn rotator cuff in right shoulder (out for season)
2007-03-23, Royals, , • Joe Nelson, placed on 60 day DL with torn labrum in right shoulder,1,60, torn labrum in right shoulder
2007-03-24, Twins, , • Alejandro Machado, placed on 15 day DL with torn labrum in right shoulder,1,15, torn labrum in right shoulder
2007-03-24, Twins, , • Francisco Liriano, placed on 60 day DL recovering from ligament replacement (Tommy John) surgery on elbow,1,60,unknown
2007-03-24, Twins, , • Lew Ford, placed on 15 day DL recovering from surgery on left knee,1,15,unknown
2007-03-28, Astros, , • Brandon Backe, placed on 15 day DL with surgery on right elbow to repair ligament,1,15, surgery on right elbow to repair ligament
2007-03-28, Astros, , • Hector Gimenez, placed on 15 day DL with torn labrum in right shoulder,1,15, torn labrum in right shoulder
2007-03-28, Athletics, , • Mark Kotsay, placed on 15 day DL with herniated disc in back (out 8 12 weeks),1,15, herniated disc in back (out 8 12 weeks)
2007-03-28, Cardinals, , • Josh Kinney, placed on 15 day DL recovering from surgery on right elbow,1,15,unknown
2007-03-28, Cardinals, , • Juan Encarnacion, placed on 15 day DL recovering from surgery on left wrist,1,15,unknown
2007-03-28, Cardinals, , • Mark Mulder, placed on 15 day DL recovering from surgery on left shoulder,1,15,unknown
2007-03-28, Nationals, , • Alex Escobar, placed on 15 day DL recovering from surgery on right shoulder,1,15,unknown
2007-03-28, Nationals, , • Luis Ayala, placed on 15 day DL recovering from surgery on right elbow,1,15,unknown
2007-03-28, Nationals, , • Michael O'Connor / Mike O'Connor, placed on 60 day DL recovering from surgery on left elbow,1,60,unknown
2007-03-28, Nationals, , • Nick Johnson, placed on 15 day DL recovering from fractured right leg,1,15,unknown
2007-03-28, Red Sox, , • Jon Lester, placed on 15 day DL with lymphoma,1,15, lymphoma
2007-03-28, Red Sox, , • Matt Clement, placed on 15 day DL recovering from surgery on right shoulder,1,15,unknown
2007-03-28, Red Sox, , • Mike Timlin, placed on 15 day DL with strained left oblique muscle,1,15, strained left oblique muscle
2007-03-28, Royals, , • Angel Sanchez (Luis), placed on 60 day DL with elbow injury,1,60, elbow injury
2007-03-29, Brewers, , • Laynce Nix, placed on 15 day DL with strained right hamstring (oblique per MLB.com),1,15, strained right hamstring (oblique per MLB.com)
2007-03-29, Cubs, , • Juan Mateo, placed on 15 day DL with right shoulder injury,1,15, right shoulder injury
2007-03-29, Cubs, , • Kerry Wood, placed on 15 day DL with stiff right shoulder,1,15, stiff right shoulder
2007-03-29, Rangers, , • Eric Gagne, placed on 15 day DL with elbow injury (recovering from surgery on back per CBS),1,15, elbow injury (recovering from surgery on back per CBS)
2007-03-29, Rangers, , • Joaquin Arias, placed on 15 day DL with right shoulder inflammation,1,15, right shoulder inflammation
2007-03-29, Rangers, , • John Rheinecker, placed on 15 day DL with strained back,1,15, strained back
2007-03-29, Rockies, , • Tom Martin, placed on 15 day DL with left groin injury,1,15, left groin injury
