name,slug
Angels,LAA
Astros,HOU
Athletics,OAK
Blue Jays,TOR
Braves,ATL
Brewers,MIL
Cardinals,STL
Cubs,CHC
Diamondbacks,ARI
Dodgers,LAD
iants,SFG
Indians,CLE
Mariners,SEA
Marlins,MIA
Mets,NYM
Nationals,WAS
Orioles,BAL
adres,SDP
Phillies,PHI
Pirates,PIT
Rangers,TEX
ays,TBR
Red Sox,BOS
Reds,CIN
Rockies,COL
oyals,KCR
Tigers,DET
Twins,MIN
White Sox,CHW
Yankees,NYY
